time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2010,0.83,21.808697947441992,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.35819871783762985,0.0,0.3382930974168209,5.856947874395971,62.583158249582446,135.0,100.19395140703409,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,62.402196253306016,1.45,0.07873685176091616
2015,0.9244122062848886,8.033813304000974,32.684583626520094,5.717043259108689,48.7317649810255,78.35837422796122,0.501425175780193,0.0,0.8133727835525553,5.21816852464991,78.26545516843485,191.4780834409318,85.00241099835958,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,75.8170683126172,1.45,0.07873685176091616
2020,1.0076243974952788,31.45097994199873,30.265126718812777,5.5013749843846105,53.894564857722976,100.31476683924602,0.34149378222923954,0.0,0.313766305267864,8.6452117397395,100.17343166361931,303.14882752000074,158.43651569056814,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,99.97148140770983,1.45,0.07873685176091616
2025,1.1032635266655861,13.283426455073418,27.618255505763397,5.255307365489044,58.781685779021615,116.3282957983877,0.2904118366491662,0.0,0.7449764298972801,10.145758204230853,116.13180965277137,349.7045476671799,189.35515325390233,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,113.68515647881891,1.45,0.07873685176091616
2030,1.1915732218214476,32.55758638045109,24.84115671101678,4.984090359435388,63.37662836762477,130.86024340049684,0.14020401351041042,0.0,0.391491234486513,13.560483149287975,130.60241115011883,371.57461381580134,266.94713356311763,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,130.18078189326965,1.45,0.07873685176091616
2035,1.2908262277129698,24.759504626411445,21.960122787464794,4.686162906628918,67.48013959731485,136.5231175084534,0.11200157117864211,0.0,0.534631868759486,14.085158950035295,136.20745005638207,310.6704342288914,268.2021430974121,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,135.23025527742934,1.45,0.07873685176091616
2040,1.3911118652510475,35.68886320193609,19.056470418013554,4.365371738811433,71.11294661231919,141.56614628482617,0.5382780955231422,0.0,0.31448962504413985,7.423787435305611,141.1859817797865,259.17779001762284,109.50283035067498,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,140.9730184693087,1.45,0.07873685176091616
2045,1.5007445355208933,64.53946615067652,16.18612323609763,4.023198135326873,74.89116810555426,189.60135783182818,0.15130811598086497,0.0,0.02218051356032079,17.857077292169897,189.00878323394232,532.4553327365473,331.607654458096,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,189.00862527596394,1.45,0.07873685176091616
2050,1.639428060154853,18.784217601862366,13.359043068001471,3.655002471681992,77.32737837640296,196.38803682866345,0.4920143797419094,0.0,0.7141851836207259,10.694164205595158,195.65557026749218,457.4022444008009,159.01724212442332,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,193.12159630294875,1.45,0.07873685176091616
2055,1.7636906154057042,62.98685032784188,10.73085139711982,3.2757978260447973,79.39968220222745,243.76983714012871,0.691098988627521,0.0,0.18129754056831726,8.023877154817969,242.71760195186013,745.1844633950427,103.24946849531524,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,242.654704093734,1.45,0.07873685176091616
2060,1.9090865409795708,6.392350142669378,8.338105143663045,2.8875777294582123,80.63814902818916,305.93910123428,0.3477345175621135,0.0,0.932128456886032,20.428120533532486,304.3918021654719,1278.5160767145885,341.79958419727615,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,297.2044069045885,1.45,0.07873685176091616
2065,2.0281810876944744,39.93518062499779,6.2982071746456,2.5096229148311506,80.37618809005224,326.68999101117777,0.12546852814244325,0.0,0.5739344289578007,29.36323496212542,324.8251692337045,1271.6921134007032,530.9112255906426,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,322.9898819716479,1.45,0.07873685176091616
2070,2.150601509024388,28.168998050467415,4.616896197163841,2.1486963948319553,78.97920018993662,320.3549747859221,0.8549353144971714,0.0,0.6788151943001709,4.703845758628236,318.298897616033,953.5468015214019,44.14818890116266,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,315.62131927135033,1.45,0.07873685176091616
2075,2.266389648872607,56.7492229965023,3.287372419093106,1.813111253920483,77.51323993374082,416.3025008496955,0.07382196152136122,0.0,0.4768796615266881,38.81754556664809,413.335168292011,1912.2389100966927,704.0742118338692,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,412.1309226177562,1.45,0.07873685176091616
2080,2.3962998415210865,65.96734445099473,2.2638327124760886,1.5046038390473715,74.37090997387,392.7110241786462,0.510280022221774,0.0,0.3241406225377191,19.213815991793382,389.5817511502304,1281.2795195792517,254.38377738447505,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,389.22320477543855,1.45,0.07873685176091616
2085,2.5417804501925,59.393268148081034,1.5005276783290393,1.2249602762249228,71.02363905591513,453.94595047779427,0.6821480935609653,0.0,0.4483937068395759,14.273951631304465,449.8761955075812,1749.6468714265568,162.82982245242718,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,448.91938051811576,1.45,0.07873685176091616
2090,2.6934541339927716,17.173957558671574,0.9550129540972594,0.9772476421548734,66.97425542670216,534.1165830428268,0.7408703049732541,0.0,0.858233257273273,13.449524344847829,528.7395429238953,2564.296479023679,144.90892904204088,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,522.2864504144965,1.45,0.07873685176091616
